source_models,source_checkpoints,target_model,target_checkpoint,attack,epsilon,alpha,steps,momentum,random_start,diversity_prob,resize_rate,samples,source_clean_acc,target_clean_acc,joint_clean_acc,adv_error_rate_all,transfer_asr_target_clean,transfer_asr_joint_clean,mean_ssim_target_clean,mean_ssim_joint_clean,transfer_score_target_clean,transfer_score_joint_clean
densenet121,models_public\densenet121_best.pt,resnet18,models_public\resnet18_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,500,0.974,0.962,0.942,0.972,0.9708939708939709,0.970276008492569,0.98668680048091,0.9869887604494324,95.79682657475779,95.76515149159036
densenet121,models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,500,0.974,0.99,0.966,0.99,0.98989898989899,0.989648033126294,0.9867438812645114,0.9870568538809421,97.67767713527486,97.68388740271021
densenet121,models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,500,0.974,0.958,0.94,0.946,0.9436325678496869,0.9425531914893617,0.9864684765317798,0.9867707547431067,93.0863781612452,93.00839241514814
resnet34+vgg16+densenet121,models_public\resnet34_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet18,models_public\resnet18_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.3,0.85,500,0.994,0.962,0.96,0.988,0.9875259875259875,0.9875,0.9850115329340885,0.9849966009960899,97.27244867852225,97.26841434836388
resnet18+resnet34+vgg16,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\vgg16_best.pt,densenet121,models_public\densenet121_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.3,0.85,500,0.992,0.974,0.968,0.992,0.9917864476386037,0.9917355371900827,0.9854130083482951,0.9853981912136078,97.73192670066253,97.72544045093632
resnet18+vgg16+densenet121,models_public\resnet18_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.3,0.85,500,0.976,0.99,0.97,0.994,0.9939393939393939,0.9938144329896907,0.9849007110285565,0.9849734088691933,97.89316158102015,97.88807898452602
resnet18+resnet34+densenet121,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.3,0.85,500,0.992,0.958,0.952,0.98,0.9791231732776617,0.9789915966386554,0.9848530490769506,0.984894224502498,96.42924426244046,96.42031693658909
