model,checkpoint,checkpoint_epoch,attack,epsilon,alpha,steps,clean_acc,adv_error_rate_all,asr_on_clean,mean_ssim_success,proxy_score_m
resnet18,models\resnet18_best.pt,1,fgsm,0.031372549,,,0.216,0.99,0.9537037037037037,0.9876297921845407,94.19061906945157
resnet18,models\resnet18_best.pt,1,pgd,0.031372549,0.007843137,2,0.216,0.99,0.9537037037037037,0.9950245866871843,94.89586335998146
