family,config_id,attack,source_protocol,targets_evaluated,mean_transfer_score_target_clean,mean_transfer_score_joint_clean,mean_transfer_asr_target_clean,mean_transfer_asr_joint_clean,mean_ssim_target_clean,mean_ssim_joint_clean
ensemble,ens_e10_a2_s12_m1.0_d0.3,ensemble,leave_one_out_ensemble,4,97.95034896141739,97.95825068668653,0.9919354838709677,0.9919354838709677,0.9874677763671004,0.9875467936197917
ensemble,ens_e12_a2_s12_m1.0,ensemble,leave_one_out_ensemble,4,97.49972407055157,97.51074701227166,0.9919354838709677,0.9919354838709677,0.9829253570527159,0.983035586469917
ensemble,ens_e10_a1_s15_m1.0,ensemble,leave_one_out_ensemble,4,97.23004403614229,97.23747553363921,0.9838709677419355,0.9838709677419355,0.9882396192949792,0.9883139342699485
ensemble,ens_e10_a2_s12_m1.0,ensemble,leave_one_out_ensemble,4,97.15581176421975,97.16411762340095,0.9838709677419355,0.9838709677419355,0.9874842161740203,0.9875672747658322
ensemble,ens_e8_a2_s10_m1.0,ensemble,leave_one_out_ensemble,4,94.2766220258769,94.28222205049248,0.9508064516129032,0.9508064516129032,0.9915397077694569,0.9915957080156125
ensemble,ens_e8_a1_s12_m1.0,ensemble,leave_one_out_ensemble,4,89.50421265696966,89.48425187859485,0.9021337365591399,0.9018817204301076,0.9921327254922765,0.9921848535355025
mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,mi_fgsm,single_resnet18_to_others,3,91.44272329986738,91.00689767420977,0.9250672043010754,0.9206896551724139,0.9884868230319285,0.9884529643379799
mi_fgsm,mi_e10_a2_s12_m1.0,mi_fgsm,single_resnet18_to_others,3,90.3034782217395,89.79802555508083,0.9146505376344086,0.9095785440613028,0.9872904378031101,0.9872404339199975
mi_fgsm,mi_e8_a1_s12_m1.0,mi_fgsm,single_resnet18_to_others,3,85.48537569661293,84.65969056461962,0.8615591397849461,0.8532567049808429,0.9922152469271704,0.9921972659967201
mi_fgsm,mi_e8_a2_s10_m1.0,mi_fgsm,single_resnet18_to_others,3,85.40841693519263,84.5792090390377,0.8612231182795699,0.8528735632183908,0.9917072132107464,0.9916985208873127
