source_models,source_checkpoints,target_model,target_checkpoint,attack,epsilon,alpha,steps,momentum,random_start,diversity_prob,resize_rate,ti_kernel_size,ti_sigma,restarts,source_weights,samples,source_clean_acc,target_clean_acc,joint_clean_acc,adv_error_rate_all,transfer_asr_target_clean,transfer_asr_joint_clean,mean_ssim_target_clean,mean_ssim_joint_clean,transfer_score_target_clean,transfer_score_joint_clean,quick_label
resnet18+resnet34+densenet121,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.3,0.85,0,1.0,1,,32,1.0,0.96875,0.96875,0.96875,0.967741935483871,0.967741935483871,0.9873942693074544,0.9873942693074544,95.55428412652786,95.55428412652786,baseline_vgg16
resnet18+resnet34+densenet121,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.3,0.85,0,1.0,1,0.25|0.1|0.65,32,0.96875,0.96875,0.9375,0.96875,0.967741935483871,0.9666666666666667,0.9873478571573894,0.9877114789239292,95.54979262813447,95.47877629597983,weighted_extreme_vgg16
resnet18+resnet34+densenet121,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,True,0.3,0.85,0,1.0,2,0.25|0.1|0.65,32,0.96875,0.96875,0.9375,1.0,1.0,1.0,0.9870940177671371,0.9874409993489583,98.70940177671372,98.74409993489583,weighted_extreme_restart2_vgg16
