source_models,source_checkpoints,target_model,target_checkpoint,attack,epsilon,alpha,steps,momentum,random_start,diversity_prob,resize_rate,ti_kernel_size,ti_sigma,restarts,source_weights,samples,source_clean_acc,target_clean_acc,joint_clean_acc,adv_error_rate_all,transfer_asr_target_clean,transfer_asr_joint_clean,mean_ssim_target_clean,mean_ssim_joint_clean,transfer_score_target_clean,transfer_score_joint_clean,quick_label
resnet18+resnet34+densenet121,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.3,0.85,0,1.0,1,,64,0.96875,0.9375,0.921875,0.96875,0.9666666666666667,0.9661016949152542,0.9842733185866783,0.9841368156566954,95.14642079671225,95.07762456344346,baseline_vgg16_64
resnet18+resnet34+densenet121,models_public\resnet18_best.pt|models_public\resnet34_best.pt|models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,True,0.3,0.85,0,1.0,2,0.25|0.1|0.65,64,0.953125,0.9375,0.90625,0.984375,0.9833333333333333,0.9827586206896551,0.9842162051443326,0.9842084918105811,96.78126017252603,96.72393798828124,weighted_extreme_restart2_vgg16_64
