source_models,source_checkpoints,target_model,target_checkpoint,attack,epsilon,alpha,steps,momentum,random_start,diversity_prob,resize_rate,ti_kernel_size,ti_sigma,restarts,source_weights,samples,source_clean_acc,target_clean_acc,joint_clean_acc,adv_error_rate_all,transfer_asr_target_clean,transfer_asr_joint_clean,mean_ssim_target_clean,mean_ssim_joint_clean,transfer_score_target_clean,transfer_score_joint_clean,quick_label
resnet18+vgg16+densenet121,models_public\resnet18_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,True,0.3,0.85,0,1.0,2,,32,0.96875,1.0,0.96875,1.0,1.0,1.0,0.9870467185974121,0.9873782742408014,98.70467185974121,98.73782742408014,restart2_only
resnet18+vgg16+densenet121,models_public\resnet18_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,False,0.3,0.85,0,1.0,1,0.1|0.2|0.7,32,0.96875,1.0,0.96875,1.0,1.0,1.0,0.9871445894241333,0.9874765334590789,98.71445894241333,98.74765334590789,weighted_extreme
resnet18+vgg16+densenet121,models_public\resnet18_best.pt|models_public\vgg16_best.pt|models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,ensemble,0.0392156862745098,0.00784313725490196,12,1.0,True,0.3,0.85,0,1.0,2,0.1|0.2|0.7,32,0.96875,1.0,0.96875,1.0,1.0,1.0,0.9871480464935303,0.9874769026233304,98.71480464935303,98.74769026233304,weighted_extreme_restart2
