family,config_id,attack,source_protocol,source_anchor,targets_evaluated,mean_transfer_score_target_clean,mean_transfer_score_joint_clean,mean_transfer_asr_target_clean,mean_transfer_asr_joint_clean,mean_ssim_target_clean,mean_ssim_joint_clean
mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,mi_fgsm,single_source_to_others,densenet121,3,97.80654105447952,97.79083043443687,0.989247311827957,0.9888888888888889,0.9886952459812163,0.9888958949003124
mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,mi_fgsm,single_source_to_others,vgg16,3,96.74165759889883,96.67065232163411,0.9784722222222223,0.9777530589543938,0.9886985664947588,0.9886993991004096
mi_fgsm,mi_e10_a2_s12_m1.0,mi_fgsm,single_source_to_others,densenet121,3,95.55697855769948,95.50996465922258,0.9677195340501793,0.9670250896057349,0.9874451126661574,0.9876679087964053
mi_fgsm,mi_e10_a2_s12_m1.0,mi_fgsm,single_source_to_others,vgg16,3,92.2918842236201,92.07397567372787,0.9347446236559139,0.932542330985045,0.9873485142823298,0.9873434972122621
mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,mi_fgsm,single_source_to_others,resnet18,3,91.44272329986738,91.00689767420977,0.9250672043010754,0.9206896551724139,0.9884868230319285,0.9884529643379799
mi_fgsm,mi_e10_a2_s12_m1.0,mi_fgsm,single_source_to_others,resnet18,3,90.3034782217395,89.79802555508083,0.9146505376344086,0.9095785440613028,0.9872904378031101,0.9872404339199975
mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,mi_fgsm,single_source_to_others,resnet34,3,89.28287041230014,89.28287041230014,0.9025089605734767,0.9025089605734767,0.9892640710255457,0.9892640710255457
mi_fgsm,mi_e10_a2_s12_m1.0,mi_fgsm,single_source_to_others,resnet34,3,85.95004618381513,85.95004618381513,0.8702508960573477,0.8702508960573477,0.9876342842748591,0.9876342842748591
mi_fgsm,mi_e8_a1_s12_m1.0,mi_fgsm,single_source_to_others,resnet18,3,85.48537569661293,84.65969056461962,0.8615591397849461,0.8532567049808429,0.9922152469271704,0.9921972659967201
mi_fgsm,mi_e8_a2_s10_m1.0,mi_fgsm,single_source_to_others,resnet18,3,85.40841693519263,84.5792090390377,0.8612231182795699,0.8528735632183908,0.9917072132107464,0.9916985208873127
mi_fgsm,mi_e8_a1_s12_m1.0,mi_fgsm,single_source_to_others,vgg16,3,85.25080314246557,84.78069342666379,0.8590725806451612,0.8543319737980473,0.9923455426925393,0.9923482990735731
mi_fgsm,mi_e8_a2_s10_m1.0,mi_fgsm,single_source_to_others,vgg16,3,83.11938649010061,82.58260771483017,0.838239247311828,0.8328265974539613,0.9915901348914629,0.9915889311527861
mi_fgsm,mi_e8_a2_s10_m1.0,mi_fgsm,single_source_to_others,densenet121,3,82.99912509952394,82.69851664061189,0.837231182795699,0.8340501792114695,0.9913325548171996,0.9915061935511863
mi_fgsm,mi_e8_a1_s12_m1.0,mi_fgsm,single_source_to_others,densenet121,3,79.8588057337696,79.48716385817443,0.8049507168458782,0.8010752688172044,0.9920833112000823,0.9922407729778725
mi_fgsm,mi_e8_a1_s12_m1.0,mi_fgsm,single_source_to_others,resnet34,3,75.53094323817974,75.53094323817974,0.760931899641577,0.760931899641577,0.9926039539353538,0.9926039539353538
mi_fgsm,mi_e8_a2_s10_m1.0,mi_fgsm,single_source_to_others,resnet34,3,73.27854296639829,73.27854296639829,0.7387096774193549,0.7387096774193549,0.9919691084553955,0.9919691084553955
