source_models,source_checkpoints,target_model,target_checkpoint,attack,epsilon,alpha,steps,momentum,random_start,diversity_prob,resize_rate,samples,source_clean_acc,target_clean_acc,joint_clean_acc,adv_error_rate_all,transfer_asr_target_clean,transfer_asr_joint_clean,mean_ssim_target_clean,mean_ssim_joint_clean,transfer_score_target_clean,transfer_score_joint_clean,family,config_id,source_protocol,source_anchor
resnet18,models_public\resnet18_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,0.9375,0.96875,0.90625,0.875,0.8709677419354839,0.8620689655172413,0.9880620815135814,0.9881243133544921,86.0570200027958,85.18313046159415,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_source_to_others,resnet18
resnet18,models_public\resnet18_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,0.9375,0.96875,0.9375,0.9375,0.9354838709677419,0.9333333333333333,0.9887891966721107,0.9885340418134417,92.49963452739101,92.26317723592122,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_source_to_others,resnet18
resnet34,models_public\resnet34_best.pt,resnet18,models_public\resnet18_best.pt,mi_fgsm,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,1.0,0.9375,0.9375,0.71875,0.7,0.7,0.9924077533540272,0.9924077533540272,69.4685427347819,69.4685427347819,mi_fgsm,mi_e8_a2_s10_m1.0,single_source_to_others,resnet34
resnet34,models_public\resnet34_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,0.65625,0.6451612903225806,0.6451612903225806,0.9915273904800415,0.9915273904800415,63.96950906322848,63.96950906322848,mi_fgsm,mi_e8_a2_s10_m1.0,single_source_to_others,resnet34
resnet34,models_public\resnet34_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,0.875,0.8709677419354839,0.8709677419354839,0.9919721815321181,0.9919721815321181,86.39757710118448,86.39757710118448,mi_fgsm,mi_e8_a2_s10_m1.0,single_source_to_others,resnet34
resnet34,models_public\resnet34_best.pt,resnet18,models_public\resnet18_best.pt,mi_fgsm,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,1.0,0.9375,0.9375,0.78125,0.7666666666666667,0.7666666666666667,0.9926940254543138,0.9926940254543138,76.1065419514974,76.1065419514974,mi_fgsm,mi_e8_a1_s12_m1.0,single_source_to_others,resnet34
resnet34,models_public\resnet34_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,0.65625,0.6451612903225806,0.6451612903225806,0.9924903392791748,0.9924903392791748,64.03163479220483,64.03163479220483,mi_fgsm,mi_e8_a1_s12_m1.0,single_source_to_others,resnet34
resnet34,models_public\resnet34_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,0.875,0.8709677419354839,0.8709677419354839,0.992627497072573,0.992627497072573,86.454652970837,86.454652970837,mi_fgsm,mi_e8_a1_s12_m1.0,single_source_to_others,resnet34
resnet34,models_public\resnet34_best.pt,resnet18,models_public\resnet18_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,1.0,0.9375,0.9375,0.9375,0.9333333333333333,0.9333333333333333,0.9875798906598773,0.9875798906598773,92.1741231282552,92.1741231282552,mi_fgsm,mi_e10_a2_s12_m1.0,single_source_to_others,resnet34
resnet34,models_public\resnet34_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,0.75,0.7419354838709677,0.7419354838709677,0.9874668535978898,0.9874668535978898,73.26366978306923,73.26366978306923,mi_fgsm,mi_e10_a2_s12_m1.0,single_source_to_others,resnet34
resnet34,models_public\resnet34_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,1.0,0.96875,0.96875,0.9375,0.9354838709677419,0.9354838709677419,0.9878561085668104,0.9878561085668104,92.41234564012098,92.41234564012098,mi_fgsm,mi_e10_a2_s12_m1.0,single_source_to_others,resnet34
resnet34,models_public\resnet34_best.pt,resnet18,models_public\resnet18_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,1.0,0.9375,0.9375,0.9375,0.9333333333333333,0.9333333333333333,0.989361013684954,0.989361013684954,92.34036127726237,92.34036127726237,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_source_to_others,resnet34
resnet34,models_public\resnet34_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,1.0,0.96875,0.96875,0.8125,0.8064516129032258,0.8064516129032258,0.9890756988525391,0.9890756988525391,79.76416926230154,79.76416926230154,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_source_to_others,resnet34
resnet34,models_public\resnet34_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,1.0,0.96875,0.96875,0.96875,0.967741935483871,0.967741935483871,0.9893555005391439,0.9893555005391439,95.74408069733651,95.74408069733651,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_source_to_others,resnet34
vgg16,models_public\vgg16_best.pt,resnet18,models_public\resnet18_best.pt,mi_fgsm,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,0.96875,0.9375,0.90625,0.8125,0.8,0.7931034482758621,0.9913514455159506,0.9913402225660242,79.30811564127605,78.62353489316743,mi_fgsm,mi_e8_a2_s10_m1.0,single_source_to_others,vgg16
vgg16,models_public\vgg16_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,0.96875,1.0,0.96875,0.84375,0.84375,0.8387096774193549,0.9917609603316696,0.9917667462275579,83.67983102798462,83.18043678037583,mi_fgsm,mi_e8_a2_s10_m1.0,single_source_to_others,vgg16
vgg16,models_public\vgg16_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,0.96875,0.96875,0.9375,0.875,0.8709677419354839,0.8666666666666667,0.9916579988267686,0.9916598246647761,86.37021280104113,85.94385147094727,mi_fgsm,mi_e8_a2_s10_m1.0,single_source_to_others,vgg16
vgg16,models_public\vgg16_best.pt,resnet18,models_public\resnet18_best.pt,mi_fgsm,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,0.96875,0.9375,0.90625,0.8125,0.8,0.7931034482758621,0.991985559463501,0.9919738354890243,79.35884475708008,78.67378695257779,mi_fgsm,mi_e8_a1_s12_m1.0,single_source_to_others,vgg16
vgg16,models_public\vgg16_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,0.96875,1.0,0.96875,0.90625,0.90625,0.9032258064516129,0.9925725213412581,0.9925838879176548,89.95188474655151,89.65273826353011,mi_fgsm,mi_e8_a1_s12_m1.0,single_source_to_others,vgg16
vgg16,models_public\vgg16_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,0.96875,0.96875,0.9375,0.875,0.8709677419354839,0.8666666666666667,0.9924785472728588,0.99248717381404,86.44167992376512,86.01555506388347,mi_fgsm,mi_e8_a1_s12_m1.0,single_source_to_others,vgg16
vgg16,models_public\vgg16_best.pt,resnet18,models_public\resnet18_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,0.96875,0.9375,0.90625,0.90625,0.9,0.896551724137931,0.9872831768459744,0.987275270315317,88.8554859161377,88.51433457999394,mi_fgsm,mi_e10_a2_s12_m1.0,single_source_to_others,vgg16
vgg16,models_public\vgg16_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,0.96875,1.0,0.96875,0.96875,0.96875,0.967741935483871,0.9872902593305034,0.9872836748758952,95.64374387264252,95.54358143960276,mi_fgsm,mi_e10_a2_s12_m1.0,single_source_to_others,vgg16
vgg16,models_public\vgg16_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,0.96875,0.96875,0.9375,0.9375,0.9354838709677419,0.9333333333333333,0.9874721066705112,0.9874715464455741,92.37642288208008,92.16401100158691,mi_fgsm,mi_e10_a2_s12_m1.0,single_source_to_others,vgg16
vgg16,models_public\vgg16_best.pt,resnet18,models_public\resnet18_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,0.96875,0.9375,0.90625,0.96875,0.9666666666666667,0.9655172413793104,0.9886010597492086,0.9885985851287842,95.56476910909018,95.4508978745033,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_source_to_others,vgg16
vgg16,models_public\vgg16_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,0.96875,1.0,0.96875,0.96875,0.96875,0.967741935483871,0.9885632914881552,0.9885596593221029,95.76706886291504,95.6670638053648,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_source_to_others,vgg16
vgg16,models_public\vgg16_best.pt,densenet121,models_public\densenet121_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,0.96875,0.96875,0.9375,1.0,1.0,1.0,0.9889313482469128,0.9889399528503418,98.89313482469127,98.89399528503418,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_source_to_others,vgg16
densenet121,models_public\densenet121_best.pt,resnet18,models_public\resnet18_best.pt,mi_fgsm,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,0.96875,0.9375,0.9375,0.8125,0.8,0.8,0.9913434187571207,0.9913434187571207,79.30747350056966,79.30747350056966,mi_fgsm,mi_e8_a2_s10_m1.0,single_source_to_others,densenet121
densenet121,models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,0.96875,1.0,0.96875,0.9375,0.9375,0.9354838709677419,0.9916380564371745,0.9918803839847959,92.96606779098511,92.78881011470672,mi_fgsm,mi_e8_a2_s10_m1.0,single_source_to_others,densenet121
densenet121,models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.03137254901960784,0.00784313725490196,10,1.0,False,0.0,0.9,32,0.96875,0.96875,0.9375,0.78125,0.7741935483870968,0.7666666666666667,0.9910161892573038,0.9912947779116423,76.72383400701708,75.99926630655925,mi_fgsm,mi_e8_a2_s10_m1.0,single_source_to_others,densenet121
densenet121,models_public\densenet121_best.pt,resnet18,models_public\resnet18_best.pt,mi_fgsm,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,0.96875,0.9375,0.9375,0.78125,0.7666666666666667,0.7666666666666667,0.9921896561332371,0.9921896561332371,76.06787363688152,76.06787363688152,mi_fgsm,mi_e8_a1_s12_m1.0,single_source_to_others,densenet121
densenet121,models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,0.96875,1.0,0.96875,0.90625,0.90625,0.9032258064516129,0.9922477787938612,0.992464372089931,89.92245495319366,89.64194328554214,mi_fgsm,mi_e8_a1_s12_m1.0,single_source_to_others,densenet121
densenet121,models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.03137254901960784,0.00392156862745098,12,1.0,False,0.0,0.9,32,0.96875,0.96875,0.9375,0.75,0.7419354838709677,0.7333333333333333,0.9918124986731488,0.9920682907104492,73.58608861123362,72.75167465209961,mi_fgsm,mi_e8_a1_s12_m1.0,single_source_to_others,densenet121
densenet121,models_public\densenet121_best.pt,resnet18,models_public\resnet18_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,0.96875,0.9375,0.9375,0.96875,0.9666666666666667,0.9666666666666667,0.9877284148643757,0.9877284148643757,95.48041343688965,95.48041343688965,mi_fgsm,mi_e10_a2_s12_m1.0,single_source_to_others,densenet121
densenet121,models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,0.96875,1.0,0.96875,0.96875,0.96875,0.967741935483871,0.9873343744585591,0.9876639684041341,95.64801752567291,95.58038403910976,mi_fgsm,mi_e10_a2_s12_m1.0,single_source_to_others,densenet121
densenet121,models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,1.0,False,0.0,0.9,32,0.96875,0.96875,0.9375,0.96875,0.967741935483871,0.9666666666666667,0.9872725486755372,0.9876113431207065,95.54250471053587,95.4690965016683,mi_fgsm,mi_e10_a2_s12_m1.0,single_source_to_others,densenet121
densenet121,models_public\densenet121_best.pt,resnet18,models_public\resnet18_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,0.96875,0.9375,0.9375,1.0,1.0,1.0,0.9887842178344727,0.9887842178344727,98.87842178344727,98.87842178344727,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_source_to_others,densenet121
densenet121,models_public\densenet121_best.pt,resnet34,models_public\resnet34_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,0.96875,1.0,0.96875,1.0,1.0,1.0,0.9887268245220184,0.9890203168315272,98.87268245220184,98.90203168315273,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_source_to_others,densenet121
densenet121,models_public\densenet121_best.pt,vgg16,models_public\vgg16_best.pt,mi_fgsm,0.0392156862745098,0.00784313725490196,12,0.75,False,0.3,0.85,32,0.96875,0.96875,0.9375,0.96875,0.967741935483871,0.9666666666666667,0.9885746955871582,0.9888831500349373,95.6685189277895,95.59203783671062,mi_fgsm,mi_e10_a2_s12_m0.75_d0.3,single_source_to_others,densenet121
